PIXEL_INDEX,MIN_LAT,MAX_LAT,MIN_LON,MAX_LON,AM,NEUTRON_DEN,W_MGO,W_AL2O3,W_SIO2,W_CAO,W_TIO2,W_FEO,W_K,W_TH,W_U,"E[0,0]","E[0,1]","E[0,2]","E[0,3]","E[0,4]","E[0,5]","E[0,6]","E[0,7]","E[0,8]","E[1,1]","E[1,2]","E[1,3]","E[1,4]","E[1,5]","E[1,6]","E[1,7]","E[1,8]","E[2,2]","E[2,3]","E[2,4]","E[2,5]","E[2,6]","E[2,7]","E[2,8]","E[3,3]","E[3,4]","E[3,5]","E[3,6]","E[3,7]","E[3,8]","E[4,4]","E[4,5]","E[4,6]","E[4,7]","E[4,8]","E[5,5]","E[5,6]","E[5,7]","E[5,8]","E[6,6]","E[6,7]","E[6,8]","E[7,7]","E[7,8]","E[8,8]"
0,-90.0,-80.0,-180.0,180.0,21.69,1.511e-06,0.076125,0.27394,0.449,0.16137,0.0012562,0.051815,427.18,0.79407,0.21578,1.6085e-06,0.0,0.0,-4.5941e-07,0.0,0.0,-0.0053954,3.5714e-08,-6.5936e-07,3.9236e-06,0.0,-1.2427e-06,0.0,-3.6038e-07,0.00098139,-3.3256e-06,9.9785e-07,2.9494e-06,-1.1325e-07,-8.9277e-08,2.8653e-08,0.0036694,3.5858e-06,-5.3448e-06,1.3935e-06,0.0,0.0,0.00058501,-1.1972e-06,1.6118e-06,3.4855e-08,6.6466e-09,-8.0459e-05,4.6853e-08,3.8242e-07,1.283e-07,7.5009e-05,1.633e-07,4.8687e-07,59.638,0.0,0.0,8.0592e-05,-1.1773e-05,4.6219e-05
1,-80.0,-60.0,-180.0,-135.0,21.917,1.219e-06,0.088363,0.22232,0.45014,0.15223,0.0045528,0.08216,805.5,1.8242,0.49702,6.8781e-06,0.0,0.0,-2.051e-06,0.0,0.0,-0.022954,6.7586e-07,-2.8447e-06,1.6886e-05,0.0,-5.6308e-06,0.0,-1.7231e-06,0.0038646,-1.3265e-05,5.5956e-06,1.2446e-05,-3.2279e-07,-4.7426e-07,4.0627e-08,0.0159,1.5302e-05,-2.4016e-05,6.213e-06,0.0,0.0,0.0026409,-5.8804e-06,6.1898e-06,2.3246e-07,5.8356e-08,-0.00042271,1.1504e-07,2.1335e-06,7.8567e-07,0.00049901,4.2946e-07,2.3669e-06,253.75,0.0,0.0,0.00034785,-5.5362e-05,0.0001996
2,-80.0,-60.0,-135.0,-90.0,21.877,1.4485e-06,0.073996,0.25775,0.44824,0.1555,0.0013515,0.055366,443.76,1.0176,0.2768,6.2426e-06,0.0,0.0,-1.8194e-06,0.0,0.0,-0.020901,2.1803e-07,-2.6696e-06,1.531e-05,0.0,-4.9314e-06,0.0,-1.4372e-06,0.0037388,-1.2712e-05,4.1052e-06,1.1416e-05,-3.8623e-07,-3.6477e-07,1.06e-07,0.014175,1.3967e-05,-2.1009e-05,5.5032e-06,0.0,0.0,0.0023252,-4.8838e-06,6.1921e-06,1.49e-07,3.0024e-08,-0.00032196,1.6913e-07,1.5904e-06,5.3811e-07,0.00034589,5.9323e-07,1.9463e-06,230.93,0.0,0.0,0.00031626,-4.717e-05,0.00018278
3,-80.0,-60.0,-90.0,-45.0,21.692,1.554e-06,0.063503,0.27253,0.45109,0.15816,0.0024823,0.044953,252.53,0.48212,0.13062,5.9512e-06,0.0,0.0,-1.7012e-06,0.0,0.0,-0.019817,2.9967e-08,-2.5387e-06,1.4521e-05,0.0,-4.581e-06,0.0,-1.3168e-06,0.0036565,-1.2266e-05,3.4071e-06,1.0892e-05,-4.0419e-07,-3.2318e-07,1.2767e-07,0.013297,1.3212e-05,-1.9466e-05,5.1358e-06,0.0,0.0,0.0021499,-4.411e-06,6.0471e-06,1.2274e-07,2.1523e-08,-0.00028355,1.7841e-07,1.3784e-06,4.5168e-07,0.00028457,6.3126e-07,1.7587e-06,217.56,0.0,0.0,0.00029693,-4.2754e-05,0.00017248
4,-80.0,-60.0,-45.0,0.0,21.661,1.5517e-06,0.06606,0.2822,0.44403,0.16435,0.0013358,0.04484,240.79,0.55625,0.15086,6.6052e-06,0.0,0.0,-1.887e-06,0.0,0.0,-0.021972,4.3699e-08,-2.8076e-06,1.612e-05,0.0,-5.081e-06,0.0,-1.4625e-06,0.0040523,-1.3607e-05,3.8001e-06,1.2082e-05,-4.4265e-07,-3.5785e-07,1.4075e-07,0.014728,1.4656e-05,-2.1555e-05,5.6909e-06,0.0,0.0,0.0023889,-4.8884e-06,6.6734e-06,1.3571e-07,2.3902e-08,-0.0003129,1.9646e-07,1.5241e-06,5.024e-07,0.0003163,6.9838e-07,1.9523e-06,240.63,0.0,0.0,0.00032896,-4.7425e-05,0.00019083
5,-80.0,-60.0,0.0,45.0,21.678,1.5703e-06,0.068243,0.27855,0.4388,0.1596,0.0020395,0.043242,229.65,0.45553,0.12336,6.4847e-06,0.0,0.0,-1.8468e-06,0.0,0.0,-0.021599,1.0519e-08,-2.7278e-06,1.58e-05,0.0,-4.9622e-06,0.0,-1.4245e-06,0.0040063,-1.3408e-05,3.6498e-06,1.1856e-05,-4.3825e-07,-3.4744e-07,1.4396e-07,0.014455,1.4392e-05,-2.1098e-05,5.5648e-06,0.0,0.0,0.0023416,-4.7541e-06,6.5768e-06,1.3042e-07,2.228e-08,-0.00030489,1.952e-07,1.4772e-06,4.8259e-07,0.00030458,6.9761e-07,1.895e-06,236.77,0.0,0.0,0.00032289,-4.6317e-05,0.00018744
6,-80.0,-60.0,45.0,90.0,21.794,1.5384e-06,0.069858,0.26802,0.44436,0.15854,0.0032079,0.048803,233.0,0.6102,0.16558,6.2134e-06,0.0,0.0,-1.7872e-06,0.0,0.0,-0.020729,6.8721e-08,-2.6778e-06,1.5188e-05,0.0,-4.8166e-06,0.0,-1.3861e-06,0.0038057,-1.2826e-05,3.6516e-06,1.1379e-05,-4.191e-07,-3.4228e-07,1.2693e-07,0.013936,1.3864e-05,-2.0504e-05,5.3996e-06,0.0,0.0,0.0022626,-4.6696e-06,6.3295e-06,1.3194e-07,2.3719e-08,-0.00030116,1.8381e-07,1.4702e-06,4.8428e-07,0.00030695,6.4812e-07,1.8653e-06,228.14,0.0,0.0,0.00031267,-4.5323e-05,0.00018135
7,-80.0,-60.0,90.0,135.0,21.76,1.4952e-06,0.074855,0.27428,0.45074,0.15871,0.0021993,0.052625,337.96,0.66635,0.18091,6.0795e-06,0.0,0.0,-1.7593e-06,0.0,0.0,-0.020265,1.1508e-07,-2.6053e-06,1.488e-05,0.0,-4.7551e-06,0.0,-1.3756e-06,0.0036762,-1.2403e-05,3.7257e-06,1.1119e-05,-3.9597e-07,-3.4349e-07,1.1422e-07,0.013674,1.3505e-05,-2.0184e-05,5.315e-06,0.0,0.0,0.0022247,-4.6254e-06,6.1135e-06,1.3601e-07,2.5832e-08,-0.00030147,1.739e-07,1.4835e-06,4.959e-07,0.00031516,6.0701e-07,1.8553e-06,222.72,0.0,0.0,0.00030374,-4.4508e-05,0.00017664
8,-80.0,-60.0,135.0,180.0,21.741,1.3358e-06,0.085362,0.2561,0.45343,0.16307,0.001458,0.065614,661.45,1.5306,0.41686,6.7543e-06,0.0,0.0,-1.989e-06,0.0,0.0,-0.022474,4.2965e-07,-2.786e-06,1.651e-05,0.0,-5.3988e-06,0.0,-1.6037e-06,0.0038951,-1.3326e-05,4.9192e-06,1.2252e-05,-3.6554e-07,-4.2259e-07,8.5014e-08,0.015372,1.4957e-05,-2.2924e-05,5.9894e-06,0.0,0.0,0.0025477,-5.4646e-06,6.3445e-06,1.8669e-07,4.2176e-08,-0.00037166,1.5358e-07,1.8601e-06,6.5317e-07,0.00042146,5.4777e-07,2.1681e-06,246.74,0.0,0.0,0.00033832,-5.2066e-05,0.00019422
9,-60.0,-40.0,-180.0,-150.0,22.019,1.1495e-06,0.081607,0.19624,0.46531,0.14717,0.0080758,0.098434,691.33,1.4921,0.40633,1.0434e-05,0.0,0.0,-3.143e-06,0.0,0.0,-0.034935,1.5787e-06,-4.8405e-06,2.6227e-05,0.0,-8.8763e-06,0.0,-2.7251e-06,0.0056528,-2.0059e-05,9.2586e-06,1.9305e-05,-5.594e-07,-7.8923e-07,-8.6624e-09,0.024598,2.3956e-05,-3.7974e-05,9.8015e-06,0.0,0.0,0.0039653,-9.7658e-06,9.6824e-06,4.0644e-07,1.0591e-07,-0.00069535,9.0186e-08,3.5647e-06,1.3296e-06,0.00083954,3.9697e-07,3.8655e-06,390.57,0.0,0.0,0.00054162,-8.8691e-05,0.0003093
10,-60.0,-40.0,-150.0,-120.0,21.868,1.394e-06,0.066621,0.23519,0.46249,0.15315,0.0035427,0.063347,515.02,1.0658,0.28997,9.7586e-06,0.0,0.0,-2.8607e-06,0.0,0.0,-0.032853,7.977e-07,-4.4508e-06,2.4297e-05,0.0,-7.8957e-06,0.0,-2.2855e-06,0.0056622,-2.0009e-05,7.0199e-06,1.8158e-05,-6.6341e-07,-6.0431e-07,1.3121e-07,0.022552,2.2497e-05,-3.3802e-05,8.8326e-06,0.0,0.0,0.0036507,-8.2743e-06,9.8995e-06,2.5193e-07,5.2707e-08,-0.00052737,2.2398e-07,2.6272e-06,8.8803e-07,0.0005864,7.9293e-07,3.1566e-06,366.25,0.0,0.0,0.00050856,-7.8103e-05,0.00028857
11,-60.0,-40.0,-120.0,-90.0,21.816,1.5857e-06,0.045779,0.26634,0.4606,0.16202,0.0037883,0.046356,189.59,0.21736,0.058339,8.7129e-06,0.0,0.0,-2.4883e-06,0.0,0.0,-0.029341,2.6705e-07,-4.0876e-06,2.1648e-05,0.0,-6.8042e-06,0.0,-1.9236e-06,0.0053287,-1.854e-05,5.0912e-06,1.6331e-05,-6.9899e-07,-4.7745e-07,1.8575e-07,0.019797,2.0095e-05,-2.9218e-05,7.6879e-06,0.0,0.0,0.0031473,-6.8364e-06,9.4019e-06,1.7535e-07,2.8736e-08,-0.00041495,2.5329e-07,2.0178e-06,6.447e-07,0.00041765,9.0247e-07,2.6141e-06,326.76,0.0,0.0,0.00045191,-6.5484e-05,0.00025912
