,class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,Unnamed: 29,active_region,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,STARTIME,ENDTIME,Centroid_LAT,Centroid_LON,ca,mg,fe,ti,al,o,si
1323013,20221028T134536745_20221028T134544745,20221028,49345.0,23.12,49415.0,196.16,49945.0,19.48,3,True,True,B8,B1,647.27,943.94,123.24,49375.12,23.34,224.06,141.272,0.918,136.51,47095.0,-3.84,49405.0,223.69,50335.0,-2.09,True,,,-74.003,-75.1341,-75.6788,-74.5216,10.2857,8.1309,11.0295,13.0507,2022-10-28T13:45:36.745,2022-10-28T13:45:44.745,-74.834375,10.6242,10.94488188976378,7.819004524886878,3.947368421052632,1.2452830188679247,15.294117647058822,44.68619246861925,16.06315202975071
665219,20220226T123103459_20220226T123111459,20220226,44885.0,38.13,45085.0,366.12,46135.0,36.44,4,True,True,B4,B3,97.03,1275.01,251.46,44981.15,68.85,437.56,89.797,0.979,1009.94,44095.0,-0.43,45075.0,371.92,55495.0,1.82,True,,False,-86.2322,-86.9301,-87.6462,-86.8791,174.011,162.211,167.33,-179.484,2022-02-26T12:31:03.459,2022-02-26T12:31:11.459,-86.9219,81.017,11.88976377952756,7.384615384615385,5.263157894736842,1.2169811320754718,13.490196078431374,45.30125523012552,15.454030500487846
1341250,20220502T203316439_20220502T203324439,20220502,73656.0,35.28,74206.0,358.2,75616.0,35.55,2,True,True,C1,B3,865.54,704.31,327.6,73969.91,204.8,551.84,343.039,0.976,758.85,73136.0,74.63,74176.0,357.0,75646.0,39.48,True,,,-47.0373,-48.136,-48.6116,-47.5049,-153.333,-154.045,-153.002,-152.302,2022-05-02T20:33:16.439,2022-05-02T20:33:24.439,-47.82245,-153.1705,11.763779527559056,10.85972850678733,8.421052631578947,0.7075471698113207,7.137254901960785,44.77405857740586,16.336578684896693
1397592,20220524T004105627_20220524T004113627,20220524,2095.0,60.39,3455.0,172.15,5475.0,17.1,1,False,True,C1,B1,1314.75,174.22,1380.89,3307.64,928.05,146.75,320.765,0.916,715.33,2095.0,98.22,3605.0,199.52,6295.0,-29.04,True,,,-53.2827,-54.5333,-54.5194,-53.2692,-71.363,-71.3502,-69.8959,-69.9499,2022-05-24T00:41:05.627,2022-05-24T00:41:13.627,-53.90115,-70.63975,11.88976377952756,6.009049773755656,5.131578947368421,1.1037735849056602,15.607843137254902,45.1255230125523,15.132467764635493
1375993,20220518T014108278_20220518T014116278,20220518,5845.0,103.33,7535.0,1036.51,11575.0,133.46,2,True,True,C2,C1,1904.45,2098.67,927.59,6795.3,625.65,1774.1,4944.435,0.955,4513.59,5095.0,-10.35,7395.0,1038.48,11575.0,155.61,True,,,-76.0844,-77.2993,-77.333,-76.1161,3.3491,2.977,6.6593,6.7197,2022-05-18T01:41:08.278,2022-05-18T01:41:16.278,-76.7082,4.926275,12.708661417322835,6.226244343891403,3.552631578947368,0.9622641509433962,14.901960784313726,45.03765690376569,16.61058082081557
779006,20220622T091117835_20220622T091125835,20220622,33045.0,86.55,33195.0,894.19,33815.0,90.64,5,True,True,C1,B8,890.51,2682.67,648.15,33118.07,50.15,260.15,4052.382,0.768,639.71,22615.0,86.51,33195.0,956.07,35215.0,-39.69,True,,,5.1733,3.826,3.8377,5.1851,-98.7166,-98.7001,-97.7517,-97.7663,2022-06-22T09:11:17.835,2022-06-22T09:11:25.835,4.505525,-98.233675,13.590551181102365,4.923076923076923,4.605263157894736,0.339622641509434,16.15686274509804,44.65690376569037,15.727719585628137
628181,20220208T025355818_20220208T025403818,20220208,9085.0,23.83,10365.0,240.0,12775.0,90.29,3,True,True,B4,B2,237.68,710.08,174.86,9717.23,437.44,2226.39,199.992,0.959,1234.82,8795.0,-1.23,10355.0,246.42,12775.0,90.21,True,,False,-37.7988,-38.9128,-38.5533,-37.4456,49.9278,50.3717,51.2672,50.8133,2022-02-08T02:53:55.818,2022-02-08T02:54:03.818,-38.177625000000006,50.595,12.456692913385826,7.457013574660634,5.394736842105264,0.9056603773584906,11.607843137254903,45.24267782426778,16.935375330967105
1218536,20220825T142417222_20220825T142425222,20220825,51505.0,43.24,51955.0,408.75,55335.0,40.86,7,True,True,C1,B4,979.47,2059.61,254.12,51696.07,141.84,1440.82,16251.165,0.408,1511.05,48655.0,-107.79,52005.0,650.78,58975.0,-149.11,True,,,70.4871,69.3081,68.943,70.1077,134.938,133.908,136.068,137.199,2022-08-25T14:24:17.222,2022-08-25T14:24:25.222,69.71147500000001,135.52825,15.354330708661417,4.778280542986425,4.736842105263158,0.3679245283018868,13.098039215686274,44.3347280334728,17.329854865628036
1200285,20220818T092114526_20220818T092122526,20220818,33175.0,104.58,33735.0,840.33,34335.0,82.34,2,True,True,C1,B8,816.95,856.4,5321.01,33683.67,271.02,54.67,4445.854,0.954,1199.22,33175.0,246.43,33645.0,934.03,35085.0,-29.17,True,,,79.1382,77.8979,77.3957,78.6002,-131.95,-134.304,-130.402,-127.744,2022-08-18T09:21:14.526,2022-08-18T09:21:22.526,78.25800000000001,-131.1,11.952755905511813,5.647058823529412,3.1578947368421053,0.339622641509434,17.568627450980394,45.21338912133891,16.12065132028792
294773,20200409T030600512_20200409T030608512,20200409,8815.0,9.78,9455.0,11.34,11985.0,1.14,19,False,True,A6,A1,56.07,11.48,90.26,9274.12,1161.63,185.21,3.697,0.801,209.65,8815.0,12.97,9865.0,16.29,12295.0,-1.05,True,,,85.7238,84.5691,84.9297,86.1668,43.3103,50.2333,59.2459,54.371,2020-04-09T03:06:00.512,2020-04-09T03:06:08.512,85.34735,51.790125,12.708661417322835,7.529411764705882,4.473684210526316,0.5660377358490567,14.03921568627451,44.86192468619247,15.821064499128935
