class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,
20200223T195329917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195337917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195345917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195353917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195401917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195409917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195417917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195425917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195433917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195441917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
