class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,
20220304T071302733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071310733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071318733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071326733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071334733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071342733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071350733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071358733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071406733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071414733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071422733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071430733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071438733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071446733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071454733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
20220304T071502733_2022030,20220304,24015,49.76,24545,515.33,29335,56.04,5,False,True,True,B8,B5,314.77,3248.57,306.94,24236.27,160.39,2127.58,549.035,0.969,2663.58,21895,-3.84,24485,500.17,29335,32.8,True,
